$K_1$ (km/s),$\gamma_{TO95}$ (km/s),$\gamma_{FEROS}$ (km/s),$\gamma_{FEROS2}$ (km/s),$\gamma_{ELODIE}$ (km/s),$\gamma_{CTIO}$ (km/s),$\gamma_{Mercator}$ (km/s),$\gamma_{HARPS}$ (km/s),$\gamma_{NIRPS}$ (km/s)
6.67417943204992,12.987113920150609,14.071923258095218,11.32030642931089,12.429916873724636,11.665466905867488,12.655426102434653,11.28896010244226,9.813672391726008
6.694007257430108,13.00048930978,14.438752253695899,11.40005529625072,12.39765540643987,11.835624899814123,12.714091326507164,11.520018399327336,10.48088481306969
6.847277759575863,13.12463465258215,14.905235603170329,11.450012177864489,11.871859520312476,11.947777588603733,12.90007639657623,11.093679318636795,10.143228287942044
6.745094580341365,12.568880665829534,13.957969827435367,12.76055396234616,12.05897402446024,11.927364899502345,12.812007573219923,12.811056514520008,12.136428227530866
6.930112910949107,12.796370515888038,14.703020509398879,13.553684225477056,11.887139802456199,11.914761980940032,13.032714078597287,11.213543939465795,10.008688026771534
6.7624018578599,12.94674021861454,13.749076646568232,7.317032870738948,12.214381048918764,11.786492089949016,12.718514232209738,13.556758044761395,11.585555167177722
6.797627156317193,12.716131333003492,14.924263637237232,11.633588636587781,12.152228096172614,11.888804006004047,13.10094393161791,12.03512130759377,12.615956686067356
6.876028401587937,12.83422642759554,14.317844786840137,12.739637077984863,11.365023693738628,11.73540918693054,12.872044405518007,11.173658015464808,10.805188119048987
6.696179476658274,12.839597292676102,13.87171253583716,13.139663051101014,12.865308707647861,12.025457831999361,12.956591819835637,11.827665424403111,12.139021250005928
6.672223044428338,12.830242453996128,13.806563025105863,12.172277907477413,13.209829507413861,11.785251882290625,12.86472906587398,11.6914005131329,11.773065760276529
6.8083109273053966,12.85145363558249,14.832935792812531,12.69224729368085,11.163657992760834,11.915856552438292,13.013292738230374,11.323647785928594,11.211550570884086
6.802787631206038,12.92411717233934,14.65670581997718,11.428662036468026,12.774379984115997,11.651582412939195,12.50145674547139,11.75251315386047,11.935972264759096
6.905169410284805,12.789601165261107,14.344412669381235,12.172962063666295,12.474736161043625,12.004442909196976,12.652891654391757,11.444865230771061,11.372389701766053
6.925556056909681,12.912846827735436,14.158267905517622,12.086170770425023,11.515791053262614,11.852882204913787,12.7796111227008,13.109615378970204,11.54118017137592
6.626396070910606,12.78121965530941,14.546302776584438,12.540231590818376,12.025809943744102,11.841525254707914,12.941705066984769,13.10310300542505,13.141957796264357
6.686955641856471,12.815194981395258,14.615588648546767,12.960773985842536,12.214018047432727,11.74027750779433,12.627127880657023,12.438213995659277,12.489846902756494
6.580178133808448,12.952602352966542,14.307076793819737,12.229207873165915,12.243046733435541,11.924303887479931,13.114945690632759,12.223794649353787,10.985342986892794
6.96251752000057,12.905251098981818,14.434100013375522,11.970213119402116,11.952834118474986,11.975744277076231,12.528038726477819,11.402195353369876,11.409066176915317
6.721173007771026,12.810783455673313,14.146616944340522,13.132674038204499,12.883608505992449,11.477211076836289,12.861630402591908,12.811590656560425,11.873611174897837
6.9031158542966615,13.004375935012595,14.468002400787547,8.055223671390456,11.51181511039476,11.050752915315448,12.799821300682657,12.052425293104777,11.160943004477494
6.917287265261674,12.997213917774118,14.502488771674198,7.84974578619673,11.430140732100483,11.01158755048267,12.828817000768733,12.17744379160445,11.228650589538267
6.742274604627911,12.829922728455617,14.281662759151875,9.82935492126136,12.905277395742328,11.244541526132087,12.74146742996009,11.023954695710072,11.362801511083983
6.880001637595858,12.95030964778145,13.840823158952109,12.672589138517143,12.328224137842993,11.151767973900597,12.878282450297291,12.502532377086277,11.602187236986541
6.69876522517285,12.8999727029171,14.79207056063146,12.424197539684732,11.934643442741589,11.620554768298577,12.825067477071117,11.600959208765154,11.601256590268308
6.815396121715607,12.784082145013144,13.717203884085482,10.455695175900562,12.074620802394028,12.10340133725398,12.870992770478528,11.3435824484144,12.322349087414262
